	UMAP1	UMAP2
293T_TFF1_DNA_Pool-1_1D:0Y:25:07	-1.0155576	8.078333
293T_TFF1_DNA_Pool-1_1D:0Y:61:07	-0.14833817	8.879439
293T_TFF1_DNA_Pool-1_1D:0Y:E8:07	0.34173092	7.3393617
293T_TFF1_DNA_Pool-1_1D:0Y:I2:07	0.26066872	8.151408
293T_TFF1_DNA_Pool-1_1D:0Y:J8:07	0.03202157	7.7002974
293T_TFF1_DNA_Pool-1_1D:0Y:O2:03	-0.5139126	8.422903
293T_TFF1_DNA_Pool-1_1D:0Y:O6:03	0.94300556	8.194152
293T_TFF1_DNA_Pool-1_1D:0Y:T0:03	-0.011958279	9.657252
293T_TFF1_DNA_Pool-1_1D:0Y:T0:12	0.13316324	7.4978185
293T_TFF1_DNA_Pool-1_1D:0Y:Y2:02	1.1349834	7.164528
293T_TFF1_DNA_Pool-1_1D:12:F2:07	0.35108957	7.129251
293T_TFF1_DNA_Pool-1_1D:12:R2:07	-1.8617945	6.9305363
293T_TFF1_DNA_Pool-1_1D:15:F3:04	-0.26818952	8.203269
293T_TFF1_DNA_Pool-1_1D:19:54:07	-0.2517407	6.8343835
293T_TFF1_DNA_Pool-1_1D:24:34:12	-2.7356427	8.65017
293T_TFF1_DNA_Pool-1_1D:24:54:12	-1.8370941	6.530445
293T_TFF1_DNA_Pool-1_1D:24:E1:07	-0.97771984	7.612131
293T_TFF1_DNA_Pool-1_1D:24:Y2:02	3.0598876e-05	9.834556
293T_TFF1_DNA_Pool-1_1D:27:Y6:07	0.60843366	8.966672
293T_TFF1_DNA_Pool-1_1D:32:R4:07	-0.9528567	8.525091
293T_TFF1_DNA_Pool-1_1D:36:F2:07	1.0836434	9.001548
293T_TFF1_DNA_Pool-1_1D:36:T4:07	-1.6612928	9.871165
293T_TFF1_DNA_Pool-1_1D:36:Z3:07	1.6026378	8.354514
293T_TFF1_DNA_Pool-1_1D:39:A6:02	1.6773348	8.298861
293T_TFF1_DNA_Pool-1_1D:39:O1:06	-0.47968674	9.079688
293T_TFF1_DNA_Pool-1_1D:43:F2:07	-1.015373	7.853552
293T_TFF1_DNA_Pool-1_1D:43:H8:07	1.0637178	10.952828
293T_TFF1_DNA_Pool-1_1D:47:76:02	0.81822044	9.481063
293T_TFF1_DNA_Pool-1_1D:47:B6:07	-1.8894525	8.328382
293T_TFF1_DNA_Pool-1_1D:47:J3:01	1.2655767	10.330975
293T_TFF1_DNA_Pool-1_1D:47:Q6:07	0.00044919777	8.66168
293T_TFF1_DNA_Pool-1_1D:47:Z6:07	0.36365923	9.423156
293T_TFF1_DNA_Pool-1_1D:51:41:07	-0.5798168	7.619085
293T_TFF1_DNA_Pool-1_1D:51:A4:07	-1.4775664	10.025045
293T_TFF1_DNA_Pool-1_1D:51:B0:07	-2.4258206	9.83201
293T_TFF1_DNA_Pool-1_1D:52:0J:03	-0.9151179	8.033578
293T_TFF1_DNA_Pool-1_1D:52:0J:07	-1.5144033	7.639578
293T_TFF1_DNA_Pool-1_1D:52:K5:07	1.783989	8.949876
293T_TFF1_DNA_Pool-1_1D:52:S5:07	-0.7399482	7.183352
293T_TFF1_DNA_Pool-1_1D:56:F2:03	0.30972794	7.027779
293T_TFF1_DNA_Pool-1_1D:60:Y1:07	0.9362327	9.208499
293T_TFF1_DNA_Pool-1_1D:63:L6:03	-1.3498621	8.712775
293T_TFF1_DNA_Pool-1_1D:63:M4:07	0.48638967	8.355402
293T_TFF1_DNA_Pool-1_1D:64:I0:07	0.22785015	10.136651
293T_TFF1_DNA_Pool-1_1D:64:Q8:07	-2.3887796	8.86296
293T_TFF1_DNA_Pool-1_1D:68:F2:07	-2.1111271	8.119367
293T_TFF1_DNA_Pool-1_1D:68:Y2:02	-2.4920387	9.875591
293T_TFF1_DNA_Pool-1_1D:72:W2:03	0.061068457	9.740168
293T_TFF1_DNA_Pool-1_1D:72:X7:03	-1.1278114	8.552071
293T_TFF1_DNA_Pool-1_1D:72:Y2:02	0.6317045	9.806687
293T_TFF1_DNA_Pool-1_1D:83:T0:02	1.7528297	8.0864315
293T_TFF1_DNA_Pool-1_1D:83:T0:03	0.7901877	9.036996
293T_TFF1_DNA_Pool-1_1D:87:B2:07	2.6548247	8.202221
293T_TFF1_DNA_Pool-1_1D:91:54:07	0.30121148	8.71237
293T_TFF1_DNA_Pool-1_1D:91:B2:07	0.0921309	10.518786
293T_TFF1_DNA_Pool-1_1D:91:J6:07	-1.5288298	9.801168
293T_TFF1_DNA_Pool-1_1D:95:0N:12	0.6391663	7.8134604
293T_TFF1_DNA_Pool-1_1D:95:46:07	1.1869788	6.38836
293T_TFF1_DNA_Pool-1_1D:95:61:07	-0.6203162	8.881546
293T_TFF1_DNA_Pool-1_1D:95:76:07	0.93161976	10.01131
293T_TFF1_DNA_Pool-1_1D:95:78:03	-1.0329908	9.036517
293T_TFF1_DNA_Pool-1_1D:95:97:04	-0.27143776	5.8176875
293T_TFF1_DNA_Pool-1_1D:95:F2:12	1.1587521	8.694977
293T_TFF1_DNA_Pool-1_1D:95:F8:12	0.22231127	8.612465
293T_TFF1_DNA_Pool-1_1D:95:G8:07	0.6067806	7.082733
293T_TFF1_DNA_Pool-1_1D:95:L0:07	-0.7209189	7.125485
293T_TFF1_DNA_Pool-1_1D:95:Q5:12	-0.9070898	9.506924
293T_TFF1_DNA_Pool-1_1D:95:R4:07	0.75681	9.691254
293T_TFF1_DNA_Pool-1_1D:99:B6:12	-1.6599696	7.8662715
293T_TFF1_DNA_Pool-1_1D:99:Q8:07	-0.427797	8.311019
293T_TFF1_DNA_Pool-1_1D:A3:54:07	-2.5488832	7.71308
293T_TFF1_DNA_Pool-1_1D:A3:W0:03	1.1475723	8.547997
293T_TFF1_DNA_Pool-1_1D:A4:90:03	-1.5772533	6.187392
293T_TFF1_DNA_Pool-1_1D:A7:90:12	-1.8669046	9.288501
293T_TFF1_DNA_Pool-1_1D:A7:P8:12	-0.3374362	9.137433
293T_TFF1_DNA_Pool-1_1D:A7:X8:07	0.82356584	7.885971
293T_TFF1_DNA_Pool-1_1D:A8:X4:12	0.31150958	8.543803
293T_TFF1_DNA_Pool-1_1D:B1:G4:07	-1.5158261	8.591492
293T_TFF1_DNA_Pool-1_1D:B1:Z3:07	0.92590976	6.6528387
293T_TFF1_DNA_Pool-1_1D:B2:F2:07	0.6572289	7.203703
293T_TFF1_DNA_Pool-1_1D:B5:02:07	0.66165435	10.396264
293T_TFF1_DNA_Pool-1_1D:B5:T0:07	-0.020862997	9.681285
293T_TFF1_DNA_Pool-1_1D:B5:T4:07	-1.225503	6.0932493
293T_TFF1_DNA_Pool-1_1D:B6:0I:12	-1.8350058	6.5322
293T_TFF1_DNA_Pool-1_1D:B6:25:03	-1.939961	6.1727147
293T_TFF1_DNA_Pool-1_1D:B6:Y2:02	-0.5827058	6.1242285
293T_TFF1_DNA_Pool-1_1D:C0:B2:12	-0.029929044	6.6298666
293T_TFF1_DNA_Pool-1_1D:C0:Y2:03	-2.6385765	7.743175
293T_TFF1_DNA_Pool-1_1D:C4:B2:12	0.8611335	10.706538
293T_TFF1_DNA_Pool-1_1D:C7:58:07	1.6112844	7.858282
293T_TFF1_DNA_Pool-1_1D:C7:Q8:07	1.3890712	8.278396
293T_TFF1_DNA_Pool-1_1D:C8:S6:12	-2.997698	8.687032
293T_TFF1_DNA_Pool-1_1D:D1:F2:07	-0.17665413	8.94279
293T_TFF1_DNA_Pool-1_1D:D2:28:07	-1.0057464	6.7814574
293T_TFF1_DNA_Pool-1_1D:E0:Q0:03	1.8078566	9.288908
293T_TFF1_DNA_Pool-1_1D:E3:17:07	0.92210406	6.6928487
293T_TFF1_DNA_Pool-1_1D:E3:28:07	0.5451241	8.3740225
293T_TFF1_DNA_Pool-1_1D:E3:G8:01	-1.3089081	6.96949
293T_TFF1_DNA_Pool-1_1D:E3:J8:07	-1.0361992	9.104134
293T_TFF1_DNA_Pool-1_1D:E3:T0:07	-1.9831747	5.9947176
293T_TFF1_DNA_Pool-1_1D:E3:W2:07	-2.5629554	9.038706
293T_TFF1_DNA_Pool-1_1D:E4:T0:07	-0.5442034	7.39546
293T_TFF1_DNA_Pool-1_1D:E4:X3:12	-0.2798144	8.029002
293T_TFF1_DNA_Pool-1_1D:E7:54:07	-1.7273263	10.077712
293T_TFF1_DNA_Pool-1_1D:E7:Y2:02	-1.0514414	6.5861964
293T_TFF1_DNA_Pool-1_1D:F1:37:07	0.18088394	9.926508
293T_TFF1_DNA_Pool-1_1D:F1:T4:07	1.0093776	9.161203
293T_TFF1_DNA_Pool-1_1D:F1:Y6:07	1.3170675	8.455697
293T_TFF1_DNA_Pool-1_1D:F2:54:07	0.17873731	9.551308
293T_TFF1_DNA_Pool-1_1D:F2:B6:07	0.06777729	9.900028
293T_TFF1_DNA_Pool-1_1D:F2:F2:03	-0.4444069	7.377702
293T_TFF1_DNA_Pool-1_1D:F2:Y2:02	-0.6301212	8.709275
293T_TFF1_DNA_Pool-1_1D:F7:0F:07	-1.0550243	6.7498
293T_TFF1_DNA_Pool-1_1D:F7:F8:03	-1.954415	7.8737593
293T_TFF1_DNA_Pool-1_1D:F9:0R:07	1.9756503	7.152564
293T_TFF1_DNA_Pool-1_1D:F9:24:07	-0.48582476	8.440081
293T_TFF1_DNA_Pool-1_1D:G4:T2:07	0.46679583	8.812
293T_TFF1_DNA_Pool-1_1D:G8:B2:07	0.9427718	7.7694187
293T_TFF1_DNA_Pool-1_1D:G8:E6:03	-1.8151546	10.7544985
293T_TFF1_DNA_Pool-1_1D:G8:P8:07	0.51254	9.205168
293T_TFF1_DNA_Pool-1_1D:H2:54:12	-1.222249	8.365164
293T_TFF1_DNA_Pool-1_1D:H2:J0:07	0.29766518	7.438422
293T_TFF1_DNA_Pool-1_1D:H6:84:07	-0.5063747	7.974535
