input	kind	barcode	threshold	raw_complexity	imp_complexity	gain
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:72:X7:03	283.639	47	8	-39
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:72:Y2:02	283.639	23	18	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:83:T0:02	283.639	27	11	-16
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:83:T0:03	283.639	53	0	-53
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:87:B2:07	283.639	26	98	72
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:91:54:07	283.639	12	54	42
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:91:B2:07	283.639	20	5	-15
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:91:J6:07	283.639	27	16	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:0N:12	283.639	14	2	-12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:46:07	283.639	24	43	19
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:61:07	283.639	26	21	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:76:07	283.639	17	17	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:78:03	283.639	9	10	1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:97:04	283.639	29	104	75
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:F2:12	283.639	36	25	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:F8:12	283.639	23	4	-19
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:G8:07	283.639	78	2	-76
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:L0:07	283.639	15	16	1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:Q5:12	283.639	103	4	-99
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:95:R4:07	283.639	9	1	-8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:99:B6:12	283.639	14	14	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:99:Q8:07	283.639	76	17	-59
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:A3:54:07	283.639	9	5	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:A3:W0:03	283.639	24	3	-21
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:A4:90:03	283.639	10	10	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:A7:90:12	283.639	9	25	16
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:A7:X8:07	283.639	15	26	11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:A8:X4:12	283.639	28	25	-3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:B1:G4:07	283.639	16	15	-1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:B1:Z3:07	283.639	22	23	1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:B2:F2:07	283.639	27	30	3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:B5:02:07	283.639	9	6	-3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:B5:T0:07	283.639	23	14	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:B5:T4:07	283.639	19	16	-3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:B6:0I:12	283.639	10	4	-6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:B6:25:03	283.639	9	57	48
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:B6:Y2:02	283.639	28	23	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:C0:B2:12	283.639	32	6	-26
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:C0:Y2:03	283.639	10	1	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:C4:B2:12	283.639	34	13	-21
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:C7:58:07	283.639	13	65	52
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:C7:Q8:07	283.639	26	15	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:C8:S6:12	283.639	8	16	8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:D1:F2:07	283.639	76	3	-73
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:D2:28:07	283.639	8	48	40
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E0:Q0:03	283.639	8	4	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E3:17:07	283.639	16	16	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E3:28:07	283.639	35	3	-32
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E3:G8:01	283.639	40	26	-14
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E3:J8:07	283.639	18	8	-10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E3:T0:07	283.639	51	4	-47
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E3:W2:07	283.639	42	10	-32
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E4:T0:07	283.639	15	5	-10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E4:X3:12	283.639	11	6	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E7:54:07	283.639	11	8	-3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:E7:Y2:02	283.639	21	7	-14
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F1:37:07	283.639	13	12	-1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F1:T4:07	283.639	21	25	4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F1:Y6:07	283.639	38	11	-27
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F2:54:07	283.639	11	15	4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F2:B6:07	283.639	6	4	-2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F2:F2:03	283.639	13	4	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F2:Y2:02	283.639	28	26	-2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F7:0F:07	283.639	14	13	-1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F7:F8:03	283.639	17	3	-14
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F9:0R:07	283.639	24	6	-18
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:F9:24:07	283.639	10	24	14
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:G4:T2:07	283.639	12	26	14
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:G8:B2:07	283.639	7	110	103
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:G8:E6:03	283.639	36	10	-26
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:G8:P8:07	283.639	12	10	-2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:H2:54:12	283.639	7	21	14
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:H2:J0:07	283.639	10	43	33
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:H6:84:07	283.639	14	25	11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:H6:A4:07	283.639	16	8	-8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:I4:B2:12	283.639	32	25	-7
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:I4:E2:03	283.639	25	14	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:I4:H6:07	283.639	6	8	2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:I7:C8:03	283.639	15	27	12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:I8:93:03	283.639	9	45	36
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:J1:93:07	283.639	14	60	46
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:J1:A5:12	283.639	19	10	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:J1:D4:07	283.639	7	20	13
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:J1:F8:07	283.639	58	17	-41
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:J1:G9:12	283.639	8	239	231
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:J1:Q4:12	283.639	8	2	-6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:J1:R0:01	283.639	37	45	8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:J1:Y2:02	283.639	55	58	3
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:K0:0F:04	283.639	10	16	6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:K0:X7:12	283.639	23	24	1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:K0:Y2:02	283.639	17	58	41
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:K7:E6:07	283.639	9	1	-8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:K7:F2:12	283.639	15	24	9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:K8:17:07	283.639	10	35	25
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:L1:F2:07	283.639	31	32	1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:L2:66:07	283.639	7	1	-6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:L2:M1:01	283.639	8	1	-7
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:L6:0I:07	283.639	9	11	2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:L6:S6:07	283.639	16	9	-7
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:L6:T2:12	283.639	21	11	-10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:L9:C0:12	283.639	216	2	-214
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M0:76:03	283.639	10	46	36
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M0:76:07	283.639	9	30	21
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M0:F2:07	283.639	32	2	-30
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M0:J0:07	283.639	10	46	36
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M0:O6:07	283.639	10	113	103
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M0:Q8:07	283.639	14	260	246
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M3:N8:07	283.639	12	96	84
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M3:S9:07	283.639	8	7	-1
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M3:Y2:02	283.639	30	8	-22
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M4:97:07	283.639	37	9	-28
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:M4:Z3:07	283.639	21	8	-13
cisTopic	factored	293T_TFF1_DNA_Pool-1_1D:N2:K5:07	283.639	18	8	-10
