input	kind	barcode	umi_total
raw	mm	293T_TFF1_DNA_Pool-1_1D:R1:76:07	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:R6:0N:04	21
raw	mm	293T_TFF1_DNA_Pool-1_1D:R6:Y2:02	40
raw	mm	293T_TFF1_DNA_Pool-1_1D:R9:F3:03	22
raw	mm	293T_TFF1_DNA_Pool-1_1D:R9:T4:07	73
raw	mm	293T_TFF1_DNA_Pool-1_1D:S0:84:07	36
raw	mm	293T_TFF1_DNA_Pool-1_1D:S3:F3:07	39
raw	mm	293T_TFF1_DNA_Pool-1_1D:S3:S6:12	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:S7:0R:07	61
raw	mm	293T_TFF1_DNA_Pool-1_1D:S7:54:03	74
raw	mm	293T_TFF1_DNA_Pool-1_1D:S7:A4:07	209
raw	mm	293T_TFF1_DNA_Pool-1_1D:S7:A6:01	134
raw	mm	293T_TFF1_DNA_Pool-1_1D:S7:B8:07	33
raw	mm	293T_TFF1_DNA_Pool-1_1D:S7:G1:03	99
raw	mm	293T_TFF1_DNA_Pool-1_1D:S7:G2:11	35
raw	mm	293T_TFF1_DNA_Pool-1_1D:S7:G8:01	58
raw	mm	293T_TFF1_DNA_Pool-1_1D:S7:Y2:12	41
raw	mm	293T_TFF1_DNA_Pool-1_1D:S8:09:07	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:S8:54:07	73
raw	mm	293T_TFF1_DNA_Pool-1_1D:S8:B6:07	35
raw	mm	293T_TFF1_DNA_Pool-1_1D:S8:Q5:07	38
raw	mm	293T_TFF1_DNA_Pool-1_1D:S8:R4:07	31
raw	mm	293T_TFF1_DNA_Pool-1_1D:T1:Q8:07	71
raw	mm	293T_TFF1_DNA_Pool-1_1D:T1:R4:07	25
raw	mm	293T_TFF1_DNA_Pool-1_1D:U3:M1:01	188
raw	mm	293T_TFF1_DNA_Pool-1_1D:U3:Y2:02	50
raw	mm	293T_TFF1_DNA_Pool-1_1D:U4:0R:07	40
raw	mm	293T_TFF1_DNA_Pool-1_1D:U4:97:03	30
raw	mm	293T_TFF1_DNA_Pool-1_1D:U4:N0:12	20
raw	mm	293T_TFF1_DNA_Pool-1_1D:U4:N8:07	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:U4:T2:07	66
raw	mm	293T_TFF1_DNA_Pool-1_1D:U7:0J:07	42
raw	mm	293T_TFF1_DNA_Pool-1_1D:U7:46:12	267
raw	mm	293T_TFF1_DNA_Pool-1_1D:V1:08:03	24
raw	mm	293T_TFF1_DNA_Pool-1_1D:V1:Y2:02	73
raw	mm	293T_TFF1_DNA_Pool-1_1D:V2:94:07	32
raw	mm	293T_TFF1_DNA_Pool-1_1D:V2:W1:07	59
raw	mm	293T_TFF1_DNA_Pool-1_1D:V5:Z3:07	32
raw	mm	293T_TFF1_DNA_Pool-1_1D:V6:94:07	49
raw	mm	293T_TFF1_DNA_Pool-1_1D:V6:Z3:07	94
raw	mm	293T_TFF1_DNA_Pool-1_1D:V9:P8:07	31
