barcode	raw	cisTopic	FITS	scOpen	MAGIC	PUscOpen	cicero	scbasset	scbasset_puscopen	scbasset_cistopic	scbasset_cistopic_puscopen
293T_TFF1_DNA_Pool-1_1E:T5:08:08	60	2401.05	0	806962	976205	0	68.1392	60	0	124	135
293T_TFF1_DNA_Pool-1_1E:U0:I9:11	21	622.753	0	571137	625082	0	22.917	21	0	38	39
293T_TFF1_DNA_Pool-1_1E:U3:25:06	21	1278.49	374063	174020	724332	574487	22.8346	21	1.31682e+06	57	61
293T_TFF1_DNA_Pool-1_1E:U4:46:03	109	12192.5	0	1.0824e+06	1.07965e+06	50660.9	122.189	109	106689	440	491
293T_TFF1_DNA_Pool-1_1E:U4:V3:09	51	608.588	0	689833	780719	142952	60.005	51	0	67	71
293T_TFF1_DNA_Pool-1_1E:U8:56:12	22	3391.92	1.12937e+06	879809	781667	785883	25.4551	22	124686	112	128
293T_TFF1_DNA_Pool-1_1E:U8:77:12	1106	3848.13	0	3.80297e+06	1.14788e+07	3.03447e+06	1251.39	1106	1.81326e+06	1175	1234
293T_TFF1_DNA_Pool-1_1E:V6:H0:12	35	12697.3	1.97984e+06	870692	658568	326602	44.7007	35	146011	348	376
293T_TFF1_DNA_Pool-1_1E:W0:K2:08	25	1372	0	470964	627576	0	28.7654	25	0	63	67
293T_TFF1_DNA_Pool-1_1E:W8:Q4:02	31	4041.29	0	742556	798313	0	35.0024	31	114946	143	158
293T_TFF1_DNA_Pool-1_1E:X5:0J:07	41	1415.02	1.7688e+06	1.71709e+06	1.09395e+06	238496	51.4078	41	457274	79	84
293T_TFF1_DNA_Pool-1_1E:X5:S6:12	53	2490.61	1.82399e+06	940921	919961	710913	67.8739	53	524060	117	123
293T_TFF1_DNA_Pool-1_1E:X5:T8:12	300	1269.6	951134	2.09231e+06	2.84294e+06	2.33789e+06	339.579	300	2.45654e+06	317	338
293T_TFF1_DNA_Pool-1_1E:X6:U6:07	26	10244.5	230233	500698	13978.5	179807	29.2837	26	0	317	350
293T_TFF1_DNA_Pool-1_1E:Z5:P3:07	22	1563.55	0	755393	706996	297738	28.3053	22	344661	64	72
293T_TFF1_DNA_Pool-1_1D:0A:33:03	20	2623.23	186408	653957	252690	77499.6	22.4244	20	103940	91	102
293T_TFF1_DNA_Pool-1_1D:0I:0A:07	22	1201.99	1.34537e+06	266876	7702.72	0	24.7696	22	0	56	58
293T_TFF1_DNA_Pool-1_1D:0I:28:03	35	1561.22	0	576810	822253	263012	43.1325	35	0	74	75
